#{"t_start": 1595862463.168139, "env_id": "gripper-env-v0"}
r,s,l,t
0.0,0.0,22,4.517926
1.0,0.5,22,5.223978
1.0,0.6666666666666666,22,6.00095
0.0,0.5,13,6.265448
0.0,0.4,23,7.966191
0.0,0.3333333333333333,18,8.361021
0.0,0.2857142857142857,7,8.611659
0.0,0.25,10,8.916499
0.0,0.2222222222222222,16,9.302084
1.0,0.3,22,9.87247
0.0,0.2727272727272727,11,10.174724
0.0,0.25,16,10.635378
0.0,0.23076923076923078,17,11.028124
0.0,0.21428571428571427,23,11.484469
0.0,0.2,14,11.886009
1.0,0.25,23,12.679828
0.0,0.23529411764705882,19,13.078774
0.0,0.2222222222222222,16,13.489754
0.0,0.21052631578947367,23,14.048335
0.0,0.2,19,14.483888
0.0,0.19047619047619047,22,15.194342
0.0,0.18181818181818182,22,15.657064
0.0,0.17391304347826086,22,16.044664
0.0,0.16666666666666666,16,16.687607
0.0,0.16,22,17.126918
0.0,0.15384615384615385,22,17.533206
0.0,0.14814814814814814,16,18.078663
1.0,0.17857142857142858,22,19.060463
0.0,0.1724137931034483,16,19.420024
0.0,0.16666666666666666,7,19.684669
0.0,0.16129032258064516,22,20.204194
0.0,0.15625,10,20.489615
0.0,0.15151515151515152,16,21.16632
1.0,0.17647058823529413,22,21.905967
0.0,0.17142857142857143,17,22.506215
0.0,0.16666666666666666,22,23.226798
0.0,0.16216216216216217,17,23.673306
0.0,0.15789473684210525,2,23.802498
1.0,0.1794871794871795,22,24.294341
0.0,0.175,23,24.991103
0.0,0.17073170731707318,22,25.685938
0.0,0.16666666666666666,18,26.157716
0.0,0.16279069767441862,22,26.710202
0.0,0.1590909090909091,18,27.099526
1.0,0.17777777777777778,22,27.963786
0.0,0.17391304347826086,19,28.901302
0.0,0.1702127659574468,18,29.639989
0.0,0.16666666666666666,22,30.117216
0.0,0.16326530612244897,22,30.59403
0.0,0.16,22,31.057595
0.0,0.1568627450980392,22,31.47522
0.0,0.15384615384615385,22,31.916485
0.0,0.1509433962264151,22,32.397617
0.0,0.14814814814814814,14,32.700237
0.0,0.14545454545454545,22,34.017384
1.0,0.16071428571428573,22,35.110125
0.0,0.15789473684210525,17,35.814086
0.0,0.15517241379310345,12,36.3347
0.0,0.15254237288135594,16,37.222901
0.0,0.15,17,38.018156
0.0,0.14754098360655737,16,38.926921
1.0,0.16129032258064516,22,39.986937
0.0,0.15873015873015872,19,40.832237
1.0,0.171875,22,41.988749
0.0,0.16923076923076924,22,43.058213
0.0,0.16666666666666666,9,43.582226
0.0,0.16417910447761194,19,44.399519
0.0,0.16176470588235295,22,45.251188
0.0,0.15942028985507245,22,46.130485
0.0,0.15714285714285714,17,46.875415
0.0,0.15492957746478872,22,47.722739
1.0,0.16666666666666666,22,48.766859
0.0,0.1643835616438356,18,49.688978
0.0,0.16216216216216217,22,50.532651
0.0,0.16,15,51.414717
0.0,0.15789473684210525,17,52.185125
0.0,0.15584415584415584,22,53.090711
0.0,0.15384615384615385,9,53.505543
0.0,0.1518987341772152,16,54.128669
0.0,0.15,23,55.071522
0.0,0.14814814814814814,23,55.999577
1.0,0.15853658536585366,22,57.159683
0.0,0.1566265060240964,5,57.393318
0.0,0.15476190476190477,3,57.573227
0.0,0.15294117647058825,16,58.400681
0.0,0.1511627906976744,17,59.137908
0.0,0.14942528735632185,19,59.989125
0.0,0.14772727272727273,13,60.59726
0.0,0.14606741573033707,23,61.535475
0.0,0.14444444444444443,22,62.367521
0.0,0.14285714285714285,12,62.978326
0.0,0.14130434782608695,22,64.072575
1.0,0.15053763440860216,22,65.134328
1.0,0.1595744680851064,23,66.105903
0.0,0.15789473684210525,12,66.824101
1.0,0.16666666666666666,22,67.758404
1.0,0.17525773195876287,22,70.319257
0.0,0.17346938775510204,22,71.175673
0.0,0.1717171717171717,16,72.126668
0.0,0.17,8,72.625589
0.0,0.16831683168316833,22,73.607517
0.0,0.16666666666666666,22,74.627207
0.0,0.1650485436893204,22,75.540999
0.0,0.16346153846153846,22,76.694445
0.0,0.1619047619047619,20,77.538909
0.0,0.16037735849056603,23,78.473735
0.0,0.1588785046728972,14,79.149302
0.0,0.1574074074074074,20,80.194603
0.0,0.1559633027522936,23,81.123322
0.0,0.15454545454545454,4,81.320183
0.0,0.15315315315315314,22,82.172033
0.0,0.15178571428571427,22,83.055025
0.0,0.1504424778761062,22,83.839262
0.0,0.14912280701754385,22,84.852839
0.0,0.14782608695652175,22,85.712333
0.0,0.14655172413793102,16,86.328224
1.0,0.15384615384615385,23,87.45413
0.0,0.15254237288135594,16,88.294009
0.0,0.15126050420168066,14,89.130373
1.0,0.15833333333333333,22,90.184314
0.0,0.15702479338842976,16,90.803717
0.0,0.1557377049180328,22,91.798947
0.0,0.15447154471544716,22,92.788188
1.0,0.16129032258064516,22,93.972471
0.0,0.16,3,94.153977
0.0,0.15873015873015872,22,94.96814
0.0,0.15748031496062992,23,96.052619
0.0,0.15625,11,96.539535
0.0,0.15503875968992248,18,97.23367
0.0,0.15384615384615385,17,97.919797
1.0,0.16030534351145037,22,98.99316
0.0,0.1590909090909091,22,99.835831
0.0,0.15789473684210525,23,100.778073
0.0,0.15671641791044777,22,101.576192
0.0,0.15555555555555556,22,102.462881
0.0,0.15441176470588236,19,103.245078
0.0,0.15328467153284672,22,104.051624
0.0,0.15217391304347827,22,105.075711
0.0,0.1510791366906475,16,105.763599
1.0,0.15714285714285714,23,106.799643
0.0,0.15602836879432624,17,107.60596
0.0,0.15492957746478872,18,108.369181
0.0,0.15384615384615385,16,109.067198
0.0,0.1527777777777778,17,109.798279
0.0,0.15172413793103448,22,110.75063
0.0,0.1506849315068493,7,111.125943
0.0,0.14965986394557823,16,112.010628
1.0,0.1554054054054054,22,114.474669
0.0,0.15436241610738255,7,114.841266
0.0,0.15333333333333332,22,115.890235
0.0,0.152317880794702,10,116.336014
0.0,0.1513157894736842,22,117.17468
0.0,0.1503267973856209,5,117.461466
0.0,0.14935064935064934,11,118.039959
0.0,0.14838709677419354,13,118.549896
0.0,0.14743589743589744,23,119.499951
0.0,0.1464968152866242,22,120.32226
0.0,0.14556962025316456,17,121.05078
0.0,0.14465408805031446,15,121.871489
0.0,0.14375,1,121.988215
1.0,0.14906832298136646,23,123.219924
0.0,0.14814814814814814,17,123.930984
0.0,0.147239263803681,22,124.776764
0.0,0.14634146341463414,22,125.74054
0.0,0.14545454545454545,16,126.462217
0.0,0.14457831325301204,22,127.361779
0.0,0.1437125748502994,9,127.867736
1.0,0.1488095238095238,22,129.012854
1.0,0.15384615384615385,22,130.042197
1.0,0.1588235294117647,22,130.915092
0.0,0.15789473684210525,16,131.603231
0.0,0.1569767441860465,16,132.623604
0.0,0.15606936416184972,22,133.517527
0.0,0.15517241379310345,10,134.062387
1.0,0.16,22,134.944006
0.0,0.1590909090909091,16,135.736077
0.0,0.15819209039548024,9,136.142619
0.0,0.15730337078651685,16,136.826503
0.0,0.1564245810055866,16,137.496343
0.0,0.15555555555555556,22,138.407868
0.0,0.15469613259668508,22,139.347228
0.0,0.15384615384615385,10,139.942079
0.0,0.15300546448087432,22,141.006327
0.0,0.15217391304347827,22,142.214471
0.0,0.15135135135135136,22,143.015134
1.0,0.15591397849462366,22,143.956956
0.0,0.15508021390374332,22,144.983818
0.0,0.15425531914893617,12,145.473641
0.0,0.15343915343915343,22,146.383569
0.0,0.15263157894736842,22,147.440702
0.0,0.1518324607329843,17,148.109651
0.0,0.15104166666666666,4,148.401162
0.0,0.15025906735751296,15,149.05322
0.0,0.14948453608247422,16,149.856235
0.0,0.14871794871794872,10,150.251552
0.0,0.14795918367346939,23,151.209662
1.0,0.15228426395939088,22,152.44745
0.0,0.15151515151515152,23,153.431944
0.0,0.1507537688442211,16,154.062194
0.0,0.15,22,154.962908
0.0,0.14925373134328357,11,155.435751
0.0,0.1485148514851485,18,156.300551
0.0,0.1477832512315271,22,157.142803
1.0,0.15196078431372548,22,158.118032
0.0,0.15121951219512195,22,159.040106
0.0,0.15048543689320387,1,159.212203
0.0,0.1497584541062802,22,160.071232
0.0,0.14903846153846154,22,160.964084
0.0,0.14832535885167464,16,161.583188
0.0,0.14761904761904762,16,162.471201
1.0,0.15165876777251186,22,163.544769
0.0,0.1509433962264151,15,164.166124
1.0,0.15492957746478872,22,165.218614
0.0,0.1542056074766355,11,166.70147
0.0,0.15348837209302327,20,167.80151
0.0,0.1527777777777778,17,168.556254
0.0,0.15207373271889402,10,169.1292
0.0,0.15137614678899083,12,169.823619
0.0,0.1506849315068493,11,170.381512
0.0,0.15,17,171.143485
0.0,0.1493212669683258,11,171.693592
1.0,0.15315315315315314,22,172.699438
1.0,0.15695067264573992,22,173.763956
1.0,0.16071428571428573,23,174.897861
0.0,0.16,17,175.656242
0.0,0.1592920353982301,18,176.369624
0.0,0.15859030837004406,16,177.040078
0.0,0.15789473684210525,14,177.839516
0.0,0.1572052401746725,23,178.763921
0.0,0.1565217391304348,16,179.476336
0.0,0.15584415584415584,22,181.494244
0.0,0.15517241379310345,22,182.524111
0.0,0.15450643776824036,22,183.45188
1.0,0.1581196581196581,22,184.669472
0.0,0.1574468085106383,2,184.794166
0.0,0.15677966101694915,22,185.753038
0.0,0.15611814345991562,16,186.360317
0.0,0.15546218487394958,16,187.07123
0.0,0.15481171548117154,1,187.177626
1.0,0.15833333333333333,22,188.420207
1.0,0.16182572614107885,22,189.386744
0.0,0.16115702479338842,23,190.68935
0.0,0.16049382716049382,22,191.607558
0.0,0.1598360655737705,22,192.521998
0.0,0.15918367346938775,22,193.339397
0.0,0.15853658536585366,22,194.267445
0.0,0.15789473684210525,22,195.298911
0.0,0.15725806451612903,22,196.108573
0.0,0.1566265060240964,16,196.75087
0.0,0.156,22,197.621481
0.0,0.1553784860557769,22,198.481394
0.0,0.15476190476190477,9,198.931497
0.0,0.1541501976284585,18,199.739185
1.0,0.15748031496062992,22,200.854494
0.0,0.1568627450980392,13,201.451388
0.0,0.15625,8,201.839074
0.0,0.1556420233463035,22,202.778471
0.0,0.15503875968992248,22,203.895314
1.0,0.1583011583011583,22,205.011637
0.0,0.1576923076923077,8,205.329359
0.0,0.15708812260536398,16,206.104051
0.0,0.15648854961832062,22,207.23998
0.0,0.155893536121673,22,208.077683
1.0,0.1590909090909091,22,209.119322
0.0,0.15849056603773584,16,209.814489
0.0,0.15789473684210525,23,211.269319
0.0,0.15730337078651685,22,212.448359
0.0,0.15671641791044777,16,213.130181
0.0,0.15613382899628253,22,214.496249
0.0,0.15555555555555556,22,215.454052
0.0,0.15498154981549817,19,216.242716
0.0,0.15441176470588236,22,217.22202
0.0,0.15384615384615385,22,218.070361
0.0,0.15328467153284672,22,218.948206
0.0,0.15272727272727274,22,219.728115
1.0,0.15579710144927536,22,220.817461
1.0,0.1588447653429603,23,221.713263
0.0,0.15827338129496402,22,222.902836
1.0,0.16129032258064516,22,223.930912
0.0,0.16071428571428573,22,224.823151
0.0,0.1601423487544484,17,225.550834
0.0,0.1595744680851064,22,226.452344
1.0,0.1625441696113074,22,227.418202
1.0,0.16549295774647887,22,228.409619
0.0,0.1649122807017544,22,229.426683
0.0,0.16433566433566432,17,230.160988
0.0,0.16376306620209058,16,230.83786
0.0,0.16319444444444445,13,231.456646
0.0,0.16262975778546712,22,232.354607
0.0,0.16206896551724137,9,232.754014
0.0,0.16151202749140894,22,233.824089
0.0,0.16095890410958905,22,234.758795
0.0,0.16040955631399317,22,235.617779
0.0,0.1598639455782313,23,236.592128
0.0,0.15932203389830507,22,237.806423
0.0,0.15878378378378377,8,238.171988
0.0,0.15824915824915825,22,239.087425
0.0,0.15771812080536912,13,239.686412
0.0,0.15719063545150502,23,240.671878
0.0,0.15666666666666668,10,241.147252
1.0,0.15946843853820597,22,242.130156
0.0,0.15894039735099338,22,243.040405
0.0,0.15841584158415842,9,243.531863
0.0,0.15789473684210525,22,244.459263
0.0,0.15737704918032788,15,245.093833
0.0,0.1568627450980392,20,245.894581
0.0,0.1563517915309446,12,246.412721
1.0,0.1590909090909091,22,247.675872
0.0,0.15857605177993528,7,248.22661
0.0,0.15806451612903225,18,249.060429
0.0,0.15755627009646303,17,249.874383
0.0,0.15705128205128205,17,250.73794
0.0,0.15654952076677317,16,251.3478
1.0,0.1592356687898089,23,252.933961
0.0,0.15873015873015872,6,253.263436
1.0,0.16139240506329114,22,254.593031
0.0,0.1608832807570978,10,255.208246
0.0,0.16037735849056603,22,256.67421
0.0,0.15987460815047022,22,257.729364
1.0,0.1625,23,259.342375
0.0,0.16199376947040497,11,259.873743
0.0,0.16149068322981366,22,260.800971
0.0,0.1609907120743034,22,261.696322
0.0,0.16049382716049382,16,262.377007
0.0,0.16,22,263.297247
0.0,0.15950920245398773,22,264.403393
0.0,0.15902140672782875,17,265.102354
0.0,0.15853658536585366,22,265.932334
0.0,0.1580547112462006,10,266.397051
0.0,0.15757575757575756,14,266.955668
0.0,0.15709969788519637,23,267.964096
0.0,0.1566265060240964,22,268.922338
0.0,0.15615615615615616,17,269.598193
0.0,0.15568862275449102,22,270.466788
0.0,0.15522388059701492,22,276.442019
0.0,0.15476190476190477,17,277.231389
0.0,0.1543026706231454,22,278.293673
1.0,0.15680473372781065,22,280.01067
0.0,0.15634218289085547,22,280.947302
0.0,0.15588235294117647,22,281.872333
1.0,0.15835777126099707,23,283.109066
1.0,0.1608187134502924,22,284.368107
0.0,0.16034985422740525,23,285.261511
0.0,0.15988372093023256,16,285.90474
0.0,0.15942028985507245,18,286.681732
0.0,0.15895953757225434,22,287.603778
0.0,0.1585014409221902,16,288.289247
0.0,0.15804597701149425,8,288.711802
0.0,0.15759312320916904,17,289.469814
0.0,0.15714285714285714,12,289.952858
0.0,0.15669515669515668,22,290.917511
0.0,0.15625,22,291.889003
0.0,0.1558073654390935,17,292.632574
0.0,0.1553672316384181,22,293.516719
0.0,0.15492957746478872,22,294.584714
0.0,0.1544943820224719,18,295.416411
0.0,0.15406162464985995,22,296.423868
0.0,0.15363128491620112,17,297.259528
0.0,0.1532033426183844,8,297.678937
0.0,0.1527777777777778,22,298.665996
0.0,0.1523545706371191,22,299.496643
0.0,0.15193370165745856,22,300.538853
0.0,0.15151515151515152,8,300.924793
0.0,0.1510989010989011,16,301.599942
0.0,0.1506849315068493,13,302.257681
0.0,0.15027322404371585,23,303.125597
0.0,0.14986376021798364,14,303.709769
0.0,0.14945652173913043,11,304.288879
0.0,0.14905149051490515,22,305.082551
0.0,0.14864864864864866,18,305.881383
1.0,0.1509433962264151,22,306.925792
0.0,0.15053763440860216,22,308.172076
0.0,0.15013404825737264,7,308.491979
0.0,0.1497326203208556,16,309.117225
0.0,0.14933333333333335,4,309.432838
0.0,0.14893617021276595,12,310.240612
0.0,0.14854111405835543,22,311.209898
0.0,0.14814814814814814,17,312.193137
0.0,0.14775725593667546,22,313.094016
1.0,0.15,22,313.944806
0.0,0.14960629921259844,14,314.625134
0.0,0.14921465968586387,17,315.429155
1.0,0.1514360313315927,23,316.54513
0.0,0.15104166666666666,22,317.455008
1.0,0.15324675324675324,22,318.425858
0.0,0.15284974093264247,19,319.172062
1.0,0.15503875968992248,22,320.218626
1.0,0.15721649484536082,22,321.293349
1.0,0.15938303341902313,22,322.179386
0.0,0.15897435897435896,22,323.425628
0.0,0.1585677749360614,23,324.378915
0.0,0.15816326530612246,17,325.054082
1.0,0.16030534351145037,22,326.257675
1.0,0.16243654822335024,22,327.340283
0.0,0.1620253164556962,23,328.352315
0.0,0.16161616161616163,16,329.215534
0.0,0.16120906801007556,16,329.880633
0.0,0.16080402010050251,22,330.689449
0.0,0.16040100250626566,11,331.202288
0.0,0.16,17,331.933074
0.0,0.1596009975062344,16,332.573357
1.0,0.16169154228855723,22,333.553058
0.0,0.16129032258064516,13,334.106499
0.0,0.1608910891089109,22,334.908871
0.0,0.16049382716049382,22,336.158085
0.0,0.16009852216748768,23,337.135925
0.0,0.1597051597051597,4,337.322847
0.0,0.15931372549019607,23,338.303438
0.0,0.15892420537897312,16,338.951065
0.0,0.15853658536585366,15,339.621132
0.0,0.15815085158150852,22,340.541924
0.0,0.15776699029126215,23,341.472095
0.0,0.15738498789346247,19,342.248386
0.0,0.1570048309178744,18,342.946407
1.0,0.15903614457831325,23,344.295306
0.0,0.15865384615384615,23,345.377205
0.0,0.15827338129496402,16,346.151275
0.0,0.15789473684210525,22,347.043545
0.0,0.1575178997613365,15,347.693552
1.0,0.1595238095238095,23,348.880735
1.0,0.16152019002375298,22,349.873973
0.0,0.16113744075829384,22,350.708338
0.0,0.1607565011820331,10,351.208736
0.0,0.16037735849056603,16,352.056899
1.0,0.1623529411764706,22,354.028044
1.0,0.1643192488262911,22,355.229791
0.0,0.16393442622950818,16,356.084852
0.0,0.16355140186915887,23,357.007497
0.0,0.16317016317016317,16,358.039875
0.0,0.16279069767441862,18,358.799834
0.0,0.16241299303944315,11,359.413751
1.0,0.16435185185185186,22,360.319581
0.0,0.16397228637413394,13,360.914575
0.0,0.16359447004608296,22,361.791511
0.0,0.1632183908045977,16,362.502616
0.0,0.1628440366972477,15,363.090302
0.0,0.16247139588100687,15,363.803003
0.0,0.16210045662100456,22,364.664622
0.0,0.16173120728929385,22,365.45308
0.0,0.16136363636363638,6,365.7417
0.0,0.16099773242630386,22,366.880333
0.0,0.16063348416289594,22,367.782874
0.0,0.16027088036117382,22,368.669859
0.0,0.15990990990990991,17,369.375975
0.0,0.15955056179775282,16,370.015805
0.0,0.1591928251121076,18,370.706249
0.0,0.15883668903803133,22,371.566717
1.0,0.16071428571428573,22,372.592973
0.0,0.1603563474387528,22,373.470595
1.0,0.1622222222222222,22,374.628803
0.0,0.16186252771618626,22,375.465987
0.0,0.16150442477876106,14,375.995464
0.0,0.16114790286975716,17,376.941213
0.0,0.16079295154185022,22,377.764118
0.0,0.16043956043956045,22,378.756923
0.0,0.1600877192982456,16,379.753997
1.0,0.16192560175054704,22,380.925481
0.0,0.1615720524017467,8,381.305048
0.0,0.16122004357298475,22,382.172901
0.0,0.1608695652173913,16,382.820585
0.0,0.16052060737527116,22,383.723815
0.0,0.16017316017316016,22,385.036146
0.0,0.15982721382289417,17,385.67717
0.0,0.15948275862068967,7,386.072982
0.0,0.15913978494623657,11,386.510741
1.0,0.1609442060085837,22,387.58719
0.0,0.16059957173447537,22,388.535339
0.0,0.16025641025641027,16,389.20056
0.0,0.15991471215351813,22,390.012523
0.0,0.1595744680851064,15,390.581173
0.0,0.1592356687898089,22,391.478761
0.0,0.15889830508474576,22,392.322761
0.0,0.15856236786469344,22,393.184014
0.0,0.15822784810126583,22,393.999385
1.0,0.16,22,395.290185
0.0,0.15966386554621848,4,395.504732
0.0,0.15932914046121593,12,396.320598
1.0,0.16108786610878661,22,397.329354
1.0,0.162839248434238,22,398.459981
0.0,0.1625,9,399.051759
0.0,0.16216216216216217,17,399.832089
0.0,0.16182572614107885,5,400.105696
0.0,0.16149068322981366,17,400.751193
0.0,0.16115702479338842,22,401.642963
0.0,0.16082474226804125,22,402.502389
0.0,0.16049382716049382,22,403.454311
0.0,0.1601642710472279,22,404.371235
0.0,0.1598360655737705,22,405.268306
0.0,0.15950920245398773,22,406.170576
0.0,0.15918367346938775,14,406.770298
1.0,0.16089613034623218,23,407.810857
0.0,0.16056910569105692,18,408.516188
0.0,0.16024340770791076,22,409.398136
0.0,0.15991902834008098,17,410.115041
0.0,0.1595959595959596,16,410.817393
0.0,0.1592741935483871,16,411.754148
0.0,0.158953722334004,9,412.239717
0.0,0.15863453815261044,22,413.098623
1.0,0.16032064128256512,22,414.139042
0.0,0.16,22,415.693809
0.0,0.1596806387225549,22,416.540514
0.0,0.1593625498007968,17,417.320228
0.0,0.15904572564612326,9,417.712478
0.0,0.15873015873015872,12,418.479487
0.0,0.15841584158415842,22,419.429353
0.0,0.15810276679841898,13,419.965488
0.0,0.15779092702169625,11,420.561067
0.0,0.15748031496062992,15,421.228857
0.0,0.15717092337917485,22,422.166551
1.0,0.1588235294117647,22,423.14886
0.0,0.15851272015655576,6,423.443789
1.0,0.16015625,22,424.3654
0.0,0.15984405458089668,22,425.212105
1.0,0.1614785992217899,22,426.190659
0.0,0.16116504854368932,14,426.724888
0.0,0.16085271317829458,22,427.553188
0.0,0.16054158607350097,17,428.295374
0.0,0.16023166023166024,22,429.092216
0.0,0.1599229287090559,23,430.028626
0.0,0.1596153846153846,22,430.981931
0.0,0.15930902111324377,14,432.274221
0.0,0.15900383141762453,17,433.030137
0.0,0.1586998087954111,22,433.985241
0.0,0.15839694656488548,16,434.634612
0.0,0.1580952380952381,16,435.510113
0.0,0.15779467680608364,22,437.530615
0.0,0.15749525616698293,22,438.410799
0.0,0.1571969696969697,11,438.858057
0.0,0.15689981096408318,22,440.007583
0.0,0.15660377358490565,22,440.813518
0.0,0.15630885122410546,22,441.798324
0.0,0.15601503759398497,8,442.174254
