#{"t_start": 1597053065.1545777, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
0.0,0.0,22,0.0,21,4.094306
0.0,0.0,16,0.0,37,4.439527
0.0,0.0,22,0.0,59,4.951484
0.0,0.0,3,0.0,62,5.089648
0.0,0.0,22,0.0,84,5.625217
1.0,0.16666666666666666,22,0.0,106,6.214643
1.0,0.2857142857142857,22,0.0,128,6.945333
1.0,0.375,22,0.0,150,7.552442
0.0,0.3333333333333333,16,0.0,166,7.881013
0.0,0.3,22,0.0,188,8.220723
0.0,0.2727272727272727,9,0.0,197,8.489582
0.0,0.25,11,0.0,208,8.694416
0.0,0.23076923076923078,17,0.0,225,9.007532
0.0,0.21428571428571427,17,0.0,242,9.398931
0.0,0.2,11,0.0,253,9.722171
0.0,0.1875,22,0.0,275,10.116025
0.0,0.17647058823529413,22,0.0,297,10.5914
0.0,0.16666666666666666,22,0.0,319,11.136534
0.0,0.15789473684210525,22,0.0,341,11.46307
0.0,0.15,10,0.0,351,11.652072
0.0,0.14285714285714285,22,0.0,373,12.051728
0.0,0.13636363636363635,17,0.0,390,12.432405
1.0,0.17391304347826086,22,0.0,412,12.963918
0.0,0.16666666666666666,22,0.0,434,13.517831
0.0,0.16,22,0.0,456,13.918296
0.0,0.15384615384615385,12,0.0,468,14.210768
0.0,0.14814814814814814,16,0.0,484,14.698961
0.0,0.14285714285714285,22,0.0,506,15.152995
0.0,0.13793103448275862,16,0.0,522,15.65048
0.0,0.13333333333333333,16,0.0,538,16.089435
0.0,0.12903225806451613,23,0.0,561,16.550561
0.0,0.125,14,0.0,575,16.99695
0.0,0.12121212121212122,7,0.0,582,17.222288
1.0,0.14705882352941177,22,0.0,604,17.780715
0.0,0.14285714285714285,15,0.0,619,18.086502
0.0,0.1388888888888889,22,0.0,641,18.599854
0.0,0.13513513513513514,9,0.0,650,18.857621
0.0,0.13157894736842105,14,0.0,664,19.211239
1.0,0.15384615384615385,22,0.0,686,20.061808
0.0,0.15,17,0.0,703,20.871336
0.0,0.14634146341463414,22,0.0,725,21.263465
0.0,0.14285714285714285,22,0.0,747,21.697012
0.0,0.13953488372093023,16,0.0,763,22.002923
0.0,0.13636363636363635,12,0.0,775,22.454001
0.0,0.13333333333333333,18,0.0,793,22.759163
0.0,0.13043478260869565,17,0.0,810,23.137871
0.0,0.1276595744680851,22,0.0,832,23.536973
0.0,0.125,12,0.0,844,23.925016
1.0,0.14285714285714285,22,0.0,866,24.547716
0.0,0.14,22,0.0,888,24.937311
0.0,0.13725490196078433,22,0.0,910,25.34808
0.0,0.1346153846153846,4,0.0,914,25.51964
0.0,0.1320754716981132,22,0.0,936,25.885217
0.0,0.12962962962962962,22,0.0,958,26.415081
0.0,0.12727272727272726,22,0.0,980,26.903853
0.0,0.125,22,0.0,1002,28.111383
0.0,0.12280701754385964,22,0.0,1024,28.974095
0.0,0.1206896551724138,22,0.0,1046,29.85205
1.0,0.13559322033898305,22,0.0,1068,31.162237
0.0,0.13333333333333333,22,0.0,1090,32.028344
0.0,0.13114754098360656,17,0.0,1107,32.698046
0.0,0.12903225806451613,22,0.0,1129,33.578366
0.0,0.12698412698412698,17,0.0,1146,34.329589
0.0,0.125,22,0.0,1168,35.213066
0.0,0.12307692307692308,22,0.0,1190,36.403185
0.0,0.12121212121212122,17,0.0,1207,37.056128
1.0,0.13432835820895522,22,0.0,1229,38.279497
0.0,0.1323529411764706,22,0.0,1251,39.12373
0.0,0.13043478260869565,22,0.0,1273,39.990861
1.0,0.14285714285714285,22,0.0,1295,41.014006
1.0,0.15492957746478872,22,0.0,1317,41.93935
1.0,0.16666666666666666,22,0.0,1339,43.15685
0.0,0.1643835616438356,23,0.0,1362,44.010158
0.0,0.16216216216216217,5,0.0,1367,44.266316
0.0,0.16,14,0.0,1381,44.941013
1.0,0.17105263157894737,22,0.0,1403,45.901219
0.0,0.16883116883116883,14,0.0,1417,46.479637
0.0,0.16666666666666666,16,0.0,1433,47.127841
0.0,0.16455696202531644,17,0.0,1450,47.765173
