#{"t_start": 1597053065.1545777, "env_id": "gripper-env-v0"}
total_timesteps,episodes,success_rate,time_spent_exploring,mean_100rew,mean_loss,mean_td_errors,current_lr
1069,60,0.13559322033898305,99,0.1,0.0015294439,0.94144344,0.0001
1147,64,0.12698412698412698,99,0.1,0.0006503513,0.56980944,0.0001
1230,68,0.13432835820895522,99,0.1,0.00041543058,0.44454974,0.0001
1318,72,0.15492957746478872,99,0.2,0.000421338,0.42088145,0.0001
1382,76,0.16,99,0.2,0.0007653145,0.6605014,0.0001
1451,80,0.16455696202531644,99,0.2,0.0002453286,0.32606286,0.0001
1503,84,0.1566265060240964,99,0.2,0.00026405288,0.3686966,0.0001
1590,88,0.16091954022988506,99,0.2,0.00022264004,0.3080861,0.0001
1664,92,0.15384615384615385,99,0.2,0.00037849307,0.42642063,0.0001
1733,96,0.14736842105263157,99,0.1,0.0004455123,0.41647622,0.0001
1810,100,0.15151515151515152,99,0.2,0.00045121508,0.4841329,0.0001
1898,104,0.15,99,0.1,0.00046171213,0.4509101,0.0001
1987,108,0.15,99,0.1,0.0006558335,0.54733276,0.0001
2075,112,0.16,99,0.2,5.1345993e-05,0.15557139,0.0001
2145,116,0.17,99,0.2,3.9805534e-05,0.14143702,0.0001
2216,120,0.17,99,0.2,3.1608695e-05,0.11605956,0.0001
2295,124,0.17,99,0.2,0.00020126233,0.16229591,0.0001
2360,128,0.17,99,0.2,3.5229372e-05,0.12375198,0.0001
2425,132,0.19,99,0.2,2.5977735e-05,0.11201936,0.0001
2502,136,0.18,99,0.2,4.106604e-05,0.13678357,0.0001
2560,140,0.18,99,0.2,0.00022822033,0.18889214,0.0001
2649,144,0.2,99,0.2,3.9014252e-05,0.13564187,0.0001
2725,148,0.2,99,0.2,2.814352e-05,0.1144906,0.0001
2811,152,0.19,99,0.2,0.00019718111,0.16010538,0.0001
2895,156,0.2,99,0.2,0.00020816404,0.16616693,0.0001
2977,160,0.19,99,0.2,0.00020567191,0.1670359,0.0001
3054,164,0.19,99,0.2,3.9323495e-05,0.13561732,0.0001
3116,168,0.18,99,0.2,2.644174e-05,0.11137758,0.0001
3205,172,0.18,99,0.2,2.0991958e-05,0.09763384,0.0001
3283,176,0.17,99,0.2,0.00019569384,0.1566679,0.0001
3349,180,0.16,99,0.2,0.00017139786,0.14233129,0.0001
3422,184,0.17,99,0.2,2.0986698e-05,0.098116495,0.0001
3495,188,0.16,99,0.2,0.00035020366,0.19074407,0.0001
3568,192,0.16,99,0.2,0.00021536334,0.18320887,0.0001
3633,196,0.17,99,0.2,0.00021125452,0.14637968,0.0001
3704,200,0.17,99,0.2,0.00017896152,0.14397769,0.0001
3767,204,0.17,99,0.2,0.00019905882,0.14907315,0.0001
3828,208,0.16,99,0.2,2.3635348e-05,0.10581704,0.0001
3872,212,0.14,99,0.1,2.2796223e-05,0.10539095,0.0001
3955,216,0.16,99,0.2,2.4815072e-05,0.10815145,0.0001
4013,220,0.17,99,0.2,0.00030711084,0.17672026,0.0001
4079,224,0.17,99,0.2,2.074274e-05,0.09799254,0.0001
4162,228,0.18,99,0.2,2.1686996e-05,0.09396362,0.0001
4238,232,0.16,99,0.2,2.5672582e-05,0.102747396,0.0001
4313,236,0.16,99,0.2,2.5363926e-05,0.11042868,0.0001
4384,240,0.16,99,0.2,0.00017478985,0.13174646,0.0001
4449,244,0.14,98,0.1,0.00016647356,0.13573293,0.0001
4515,248,0.14,98,0.1,0.00044700567,0.21847905,0.0001
4588,252,0.15,98,0.1,0.00029964955,0.17555767,0.0001
4670,256,0.15,98,0.1,2.267885e-05,0.10356781,0.0001
4730,260,0.16,98,0.2,2.4834982e-05,0.107238784,0.0001
4800,264,0.16,98,0.2,2.169242e-05,0.09991253,0.0001
4876,268,0.16,98,0.2,0.00014726516,0.12710351,0.0001
4952,272,0.15,98,0.1,0.00016883557,0.13636002,0.0001
5025,276,0.16,98,0.2,0.0002920474,0.18299358,0.0001
5098,280,0.16,98,0.2,1.8181898e-05,0.09388719,0.0001
5162,284,0.15,98,0.1,0.00015219302,0.13955015,0.0001
5215,288,0.15,98,0.1,2.2166434e-05,0.10077167,0.0001
5303,292,0.15,98,0.1,2.453441e-05,0.10122169,0.0001
5381,296,0.14,98,0.1,0.00016322474,0.13513109,0.0001
5455,300,0.14,98,0.1,1.7856302e-05,0.08982249,0.0001
5534,304,0.14,98,0.1,0.00013031607,0.12348081,0.0001
5609,308,0.13,98,0.1,0.00030495378,0.18150434,0.0001
5686,312,0.14,98,0.1,2.1274964e-05,0.0976601,0.0001
5754,316,0.11,98,0.1,2.1844095e-05,0.09841589,0.0001
5814,320,0.1,98,0.1,2.436191e-05,0.10865387,0.0001
5905,324,0.09,98,0.1,1.500928e-05,0.08234064,0.0001
5972,328,0.09,98,0.1,0.0001574913,0.122884504,0.0001
6061,332,0.1,98,0.1,0.0002603988,0.15804558,0.0001
6139,336,0.1,98,0.1,2.7569875e-05,0.102605596,0.0001
6218,340,0.09,98,0.1,0.00014347461,0.120470196,0.0001
6292,344,0.1,98,0.1,0.00015738058,0.14788777,0.0001
6363,348,0.11,98,0.1,2.1935215e-05,0.094533384,0.0001
6435,352,0.1,98,0.1,0.0003011265,0.20044714,0.0001
6518,356,0.09,98,0.1,1.554895e-05,0.083348446,0.0001
6567,360,0.08,98,0.1,2.4854522e-05,0.09053956,0.0001
6648,364,0.09,98,0.1,2.571324e-05,0.103726074,0.0001
6721,368,0.1,98,0.1,1.7656694e-05,0.08798635,0.0001
6804,372,0.11,98,0.1,2.4594328e-05,0.09808308,0.0001
6887,376,0.1,98,0.1,0.00028147892,0.16429847,0.0001
6977,380,0.11,98,0.1,1.5719248e-05,0.08662459,0.0001
7061,384,0.12,98,0.1,2.214593e-05,0.086096436,0.0001
