#{"t_start": 1596974959.4286354, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
0.0,0.0,16,0.0,15,3.381347
0.0,0.0,22,0.0,37,3.751608
0.0,0.0,22,0.0,59,4.234924
0.0,0.0,22,0.0,81,4.574316
0.0,0.0,18,0.0,99,4.982531
0.0,0.0,17,0.0,116,5.315775
0.0,0.0,18,0.0,134,5.658553
0.0,0.0,9,0.0,143,5.933754
0.0,0.0,17,0.0,160,6.259666
0.0,0.0,16,0.0,176,6.598008
0.0,0.0,22,0.0,198,8.237241
0.0,0.0,16,0.0,214,8.495046
0.0,0.0,17,0.0,231,8.880232
1.0,0.07142857142857142,22,0.0,253,11.473076
0.0,0.06666666666666667,16,0.0,269,11.804184
0.0,0.0625,9,0.0,278,12.046347
0.0,0.058823529411764705,16,0.0,294,12.378415
0.0,0.05555555555555555,16,0.0,310,12.736337
0.0,0.05263157894736842,22,0.0,332,13.169473
0.0,0.05,12,0.0,344,13.505184
1.0,0.09523809523809523,23,0.0,367,14.165576
0.0,0.09090909090909091,17,0.0,384,14.680822
0.0,0.08695652173913043,4,0.0,388,14.825165
0.0,0.08333333333333333,17,0.0,405,15.119433
0.0,0.08,13,0.0,418,15.36639
0.0,0.07692307692307693,22,0.0,440,16.017529
0.0,0.07407407407407407,3,0.0,443,16.136201
0.0,0.07142857142857142,22,0.0,465,16.505306
1.0,0.10344827586206896,22,0.0,487,17.078385
0.0,0.1,8,0.0,495,17.284196
0.0,0.0967741935483871,11,0.0,506,17.559093
0.0,0.09375,22,0.0,528,17.900302
1.0,0.12121212121212122,22,0.0,550,18.45682
1.0,0.14705882352941177,23,0.0,573,19.363999
0.0,0.14285714285714285,8,0.0,581,19.640001
0.0,0.1388888888888889,12,0.0,593,20.15453
1.0,0.16216216216216217,23,0.0,616,20.845671
0.0,0.15789473684210525,22,0.0,638,21.20258
0.0,0.15384615384615385,22,0.0,660,21.607966
0.0,0.15,14,0.0,674,21.857418
0.0,0.14634146341463414,17,0.0,691,22.316827
1.0,0.16666666666666666,22,0.0,713,22.947346
1.0,0.18604651162790697,22,0.0,735,23.477116
0.0,0.18181818181818182,22,0.0,757,24.156459
0.0,0.17777777777777778,11,0.0,768,24.420146
0.0,0.17391304347826086,22,0.0,790,24.794425
0.0,0.1702127659574468,18,0.0,808,25.181663
0.0,0.16666666666666666,16,0.0,824,25.694241
0.0,0.16326530612244897,15,0.0,839,25.945881
0.0,0.16,16,0.0,855,26.321212
0.0,0.1568627450980392,11,0.0,866,26.617927
0.0,0.15384615384615385,9,0.0,875,26.890556
0.0,0.1509433962264151,22,0.0,897,27.291664
0.0,0.14814814814814814,22,0.0,919,27.648319
0.0,0.14545454545454545,17,0.0,936,27.965789
0.0,0.14285714285714285,7,0.0,943,28.150165
0.0,0.14035087719298245,17,0.0,960,28.59668
1.0,0.15517241379310345,22,0.0,982,29.076928
0.0,0.15254237288135594,4,0.0,986,29.243437
0.0,0.15,10,0.0,996,29.455987
0.0,0.14754098360655737,22,0.0,1018,30.290301
0.0,0.14516129032258066,9,0.0,1027,30.590201
0.0,0.14285714285714285,22,0.0,1049,31.225527
0.0,0.140625,9,0.0,1058,31.643962
0.0,0.13846153846153847,18,0.0,1076,32.149417
0.0,0.13636363636363635,17,0.0,1093,32.859298
1.0,0.14925373134328357,22,0.0,1115,33.903241
1.0,0.16176470588235295,22,0.0,1137,34.768034
0.0,0.15942028985507245,16,0.0,1153,35.252053
0.0,0.15714285714285714,16,0.0,1169,36.178438
0.0,0.15492957746478872,17,0.0,1186,36.828116
0.0,0.1527777777777778,11,0.0,1197,37.157099
0.0,0.1506849315068493,16,0.0,1213,37.645433
0.0,0.14864864864864866,16,0.0,1229,38.164988
0.0,0.14666666666666667,15,0.0,1244,38.639493
0.0,0.14473684210526316,9,0.0,1253,39.034872
0.0,0.14285714285714285,22,0.0,1275,39.656744
0.0,0.14102564102564102,6,0.0,1281,39.861646
0.0,0.13924050632911392,14,0.0,1295,40.515306
0.0,0.1375,22,0.0,1317,41.355484
0.0,0.13580246913580246,3,0.0,1320,41.497067
1.0,0.14634146341463414,23,0.0,1343,42.403059
0.0,0.14457831325301204,22,0.0,1365,43.038875
0.0,0.14285714285714285,22,0.0,1387,43.700365
0.0,0.1411764705882353,15,0.0,1402,44.190439
0.0,0.13953488372093023,19,0.0,1421,44.879743
0.0,0.13793103448275862,7,0.0,1428,45.18248
0.0,0.13636363636363635,23,0.0,1451,46.105711
0.0,0.1348314606741573,22,0.0,1473,46.788846
0.0,0.13333333333333333,5,0.0,1478,47.018175
0.0,0.13186813186813187,16,0.0,1494,47.461038
0.0,0.13043478260869565,17,0.0,1511,48.06708
0.0,0.12903225806451613,23,0.0,1534,48.783593
0.0,0.1276595744680851,22,0.0,1556,49.487757
0.0,0.12631578947368421,17,0.0,1573,50.000284
0.0,0.125,22,0.0,1595,50.636291
0.0,0.12371134020618557,16,0.0,1611,51.687039
0.0,0.12244897959183673,22,0.0,1633,52.338343
0.0,0.12121212121212122,9,0.0,1642,52.624563
0.0,0.12,22,0.0,1664,53.289989
0.0,0.1188118811881188,17,0.0,1681,53.772573
0.0,0.11764705882352941,16,0.0,1697,54.550205
1.0,0.1262135922330097,22,0.0,1719,55.426719
0.0,0.125,16,0.0,1735,55.941311
0.0,0.12380952380952381,19,0.0,1754,56.739283
0.0,0.12264150943396226,22,0.0,1776,57.398692
0.0,0.12149532710280374,19,0.0,1795,57.984122
0.0,0.12037037037037036,16,0.0,1811,58.541777
0.0,0.11926605504587157,13,0.0,1824,58.956121
0.0,0.11818181818181818,22,0.0,1846,59.579931
0.0,0.11711711711711711,14,0.0,1860,60.00148
0.0,0.11607142857142858,16,0.0,1876,60.526266
0.0,0.11504424778761062,11,0.0,1887,60.967275
0.0,0.11403508771929824,9,0.0,1896,61.431542
0.0,0.11304347826086956,16,0.0,1912,62.049567
