time_spent_exploring,episodes,mean_100rew,success_rate,mean_td_errors,current_lr,total_timesteps
99,100,0.1,0.12121212121212122,0.062289864,0.0005,1643
99,200,0.1,0.12,0.005770568,0.0005,3345
98,300,0.1,0.15,-0.067857735,0.0005,5091
98,400,0.2,0.16,0.014582682,0.0005,6787
97,500,0.2,0.17,0.06776974,0.0005,8591
97,600,0.2,0.19,-0.96984917,0.0005,10331
97,700,0.1,0.12,0.018982556,0.0005,12036
96,800,0.2,0.22,-0.3428011,0.0005,13815
96,900,0.2,0.17,-0.046670415,0.0005,15496
95,1000,0.1,0.14,0.5144723,0.0005,17193
95,1100,0.2,0.21,0.14569889,0.0005,18981
94,1200,0.1,0.15,0.5755368,0.0005,20757
94,1300,0.2,0.16,-3.320879,0.0005,22495
94,1400,0.2,0.18,0.67341065,0.0005,24187
93,1500,0.1,0.14,0.35447222,0.0005,25895
93,1600,0.2,0.24,0.62737346,0.0005,27631
92,1700,0.1,0.14,0.0988621,0.0005,29406
92,1800,0.2,0.22,-4.959553,0.0005,31159
91,1900,0.1,0.12,0.088441744,0.0005,32916
91,2000,0.1,0.14,-2.4014113,0.0005,34629
91,2100,0.1,0.12,-3.892158,0.0005,36373
90,2200,0.2,0.17,-0.17378269,0.0005,38215
90,2300,0.2,0.16,-0.14642298,0.0005,39952
89,2400,0.2,0.18,0.18847308,0.0005,41696
89,2500,0.2,0.17,0.51608086,0.0005,43425
88,2600,0.2,0.18,-0.15516154,0.0005,45164
88,2700,0.1,0.13,-0.2583873,0.0005,46900
88,2800,0.2,0.18,0.07896918,0.0005,48688
87,2900,0.2,0.17,0.28775635,0.0005,50338
87,3000,0.1,0.13,-0.33581066,0.0005,51955
86,3100,0.2,0.21,0.28843793,0.0005,53686
86,3200,0.1,0.15,-0.45750695,0.0005,55373
86,3300,0.1,0.12,0.6870854,0.0005,57053
85,3400,0.1,0.12,0.017209716,0.0005,58909
85,3500,0.2,0.21,-0.2107881,0.0005,60774
84,3600,0.2,0.22,-0.0757168,0.0005,62533
84,3700,0.2,0.17,-0.06521124,0.0005,64296
83,3800,0.1,0.14,0.19212462,0.0005,65978
83,3900,0.2,0.2,-0.07765468,0.0005,67684
82,4000,0.2,0.25,-0.06189864,0.0005,69520
82,4100,0.1,0.14,-0.10818271,0.0005,71246
82,4200,0.2,0.18,-0.11228454,0.0005,73026
81,4300,0.2,0.16,0.0065183733,0.0005,74787
81,4400,0.2,0.16,0.02717213,0.0005,76476
80,4500,0.2,0.25,0.018235601,0.0005,78246
80,4600,0.2,0.18,-0.02405518,0.0005,79876
80,4700,0.3,0.28,-0.05419113,0.0005,81593
79,4800,0.2,0.21,0.019574441,0.0005,83283
79,4900,0.3,0.34,0.031006895,0.0005,85115
78,5000,0.3,0.35,-0.028860979,0.0005,86938
78,5100,0.3,0.31,-0.0047867326,0.0005,88759
77,5200,0.3,0.28,0.06394753,0.0005,90601
77,5300,0.3,0.32,-0.042468272,0.0005,92484
76,5400,0.4,0.36,0.025362771,0.0005,94317
76,5500,0.3,0.32,-0.08244659,0.0005,96183
75,5600,0.4,0.36,-0.06576991,0.0005,98132
75,5700,0.4,0.4,0.05568319,0.0005,100089
75,5800,0.3,0.34,0.0030952916,0.0005,101957
74,5900,0.3,0.31,-0.013870007,0.0005,103854
74,6000,0.4,0.39,0.031563204,0.0005,105800
73,6100,0.4,0.36,-0.0013212133,0.0005,107700
73,6200,0.4,0.39,-0.035908155,0.0005,109597
72,6300,0.3,0.32,0.053836882,0.0005,111499
72,6400,0.4,0.36,-0.07662444,0.0005,113327
71,6500,0.4,0.36,-0.016973883,0.0005,115194
71,6600,0.3,0.31,-0.008903478,0.0005,117104
70,6700,0.5,0.46,-0.08044125,0.0005,119003
70,6800,0.3,0.32,0.11347602,0.0005,120923
69,6900,0.5,0.46,0.026281584,0.0005,122857
69,7000,0.4,0.41,-0.025421983,0.0005,124823
68,7100,0.4,0.39,-0.014782194,0.0005,126763
68,7200,0.3,0.29,0.074252784,0.0005,128645
68,7300,0.4,0.43,0.05810886,0.0005,130594
67,7400,0.3,0.32,-0.057700004,0.0005,132514
67,7500,0.4,0.41,0.07420275,0.0005,134444
66,7600,0.4,0.43,-0.051918413,0.0005,136381
66,7700,0.4,0.43,0.016228199,0.0005,138284
65,7800,0.4,0.43,-0.06256441,0.0005,140311
65,7900,0.5,0.47,0.08856238,0.0005,142273
64,8000,0.5,0.47,0.033480007,0.0005,144286
64,8100,0.4,0.37,0.09013229,0.0005,146138
63,8200,0.5,0.45,0.06107883,0.0005,148062
63,8300,0.4,0.41,-0.044235677,0.0005,149989
62,8400,0.5,0.46,0.038492218,0.0005,151882
62,8500,0.5,0.46,-0.0014153179,0.0005,153840
61,8600,0.4,0.43,0.052147694,0.0005,155755
61,8700,0.4,0.41,-0.017192677,0.0005,157677
60,8800,0.3,0.33,-0.01680586,0.0005,159560
60,8900,0.3,0.35,0.09441291,0.0005,161479
59,9000,0.4,0.42,0.042357594,0.0005,163493
59,9100,0.4,0.41,-0.024167247,0.0005,165396
59,9200,0.5,0.52,2.085045e-05,0.0005,167345
58,9300,0.5,0.47,0.08976282,0.0005,169358
58,9400,0.4,0.4,0.10405852,0.0005,171236
57,9500,0.5,0.45,0.030545691,0.0005,173228
57,9600,0.4,0.39,-0.060438063,0.0005,175133
56,9700,0.4,0.41,0.048569627,0.0005,177155
56,9800,0.5,0.49,0.0839476,0.0005,179096
55,9900,0.5,0.5,0.015117941,0.0005,181048
55,10000,0.5,0.52,0.015473306,0.0005,183059
54,10100,0.6,0.6,0.043450773,0.0005,185123
54,10200,0.5,0.52,0.031862706,0.0005,187113
53,10300,0.5,0.45,0.0035127215,0.0005,189081
53,10400,0.5,0.46,0.088175885,0.0005,191049
52,10500,0.6,0.56,0.06877058,0.0005,193079
52,10600,0.6,0.57,0.0388111,0.0005,195089
51,10700,0.5,0.48,0.11814521,0.0005,196989
51,10800,0.6,0.59,0.055687148,0.0005,198958
50,10900,0.6,0.57,-0.04545828,0.0005,200900
50,11000,0.6,0.58,0.033128135,0.0005,202894
49,11100,0.4,0.44,0.05996285,0.0005,204798
49,11200,0.5,0.52,0.007808335,0.0005,206756
48,11300,0.6,0.55,0.041380093,0.0005,208758
48,11400,0.5,0.51,-0.018217636,0.0005,210746
47,11500,0.5,0.51,-0.029554978,0.0005,212746
47,11600,0.5,0.48,0.067203775,0.0005,214702
46,11700,0.6,0.57,0.0082164295,0.0005,216708
46,11800,0.6,0.58,-0.016248606,0.0005,218696
45,11900,0.5,0.54,0.014081408,0.0005,220647
45,12000,0.5,0.51,0.03933377,0.0005,222615
44,12100,0.7,0.71,-0.03558956,0.0005,224646
44,12200,0.6,0.55,0.062996246,0.0005,226651
43,12300,0.5,0.48,0.026986606,0.0005,228617
43,12400,0.6,0.55,-0.05393771,0.0005,230578
43,12500,0.5,0.53,-0.005107362,0.0005,232575
42,12600,0.6,0.58,0.05731452,0.0005,234557
42,12700,0.5,0.54,0.19163865,0.0005,236506
41,12800,0.5,0.47,-0.032849714,0.0005,238488
41,12900,0.6,0.55,0.09431323,0.0005,240437
40,13000,0.5,0.47,0.102326885,0.0005,242348
40,13100,0.5,0.52,-0.010822073,0.0005,244329
39,13200,0.5,0.45,0.15687245,0.0005,246266
39,13300,0.5,0.51,-0.14837807,0.0005,248228
38,13400,0.5,0.48,-0.0039040074,0.0005,250200
38,13500,0.4,0.41,-0.045181174,0.0005,252132
37,13600,0.4,0.43,0.10377517,0.0005,253982
37,13700,0.5,0.46,0.0064099263,0.0005,255890
36,13800,0.5,0.46,0.05720871,0.0005,257794
36,13900,0.6,0.57,-0.021491043,0.0005,259793
35,14000,0.5,0.49,0.0065180585,0.0005,261734
35,14100,0.6,0.57,0.011202248,0.0005,263736
34,14200,0.5,0.51,-0.049552724,0.0005,265677
34,14300,0.5,0.48,0.020178884,0.0005,267677
33,14400,0.4,0.42,0.08781271,0.0005,269632
33,14500,0.5,0.51,0.056771837,0.0005,271604
32,14600,0.5,0.46,0.14841126,0.0005,273562
32,14700,0.4,0.44,0.07130395,0.0005,275502
32,14800,0.6,0.59,-0.017128203,0.0005,277512
31,14900,0.5,0.53,0.0051448066,0.0005,279467
31,15000,0.6,0.56,-0.012053645,0.0005,281460
30,15100,0.6,0.6,0.0045721903,0.0005,283485
30,15200,0.6,0.58,0.0019136062,0.0005,285501
29,15300,0.6,0.61,0.038710576,0.0005,287579
29,15400,0.7,0.65,0.021234814,0.0005,289663
28,15500,0.6,0.64,-0.0768351,0.0005,291723
28,15600,0.6,0.57,-0.041395687,0.0005,293791
27,15700,0.6,0.61,0.124696776,0.0005,295887
26,15800,0.6,0.63,0.01962979,0.0005,298007
26,15900,0.6,0.59,0.019369453,0.0005,300052
25,16000,0.7,0.73,0.0010322509,0.0005,302135
25,16100,0.7,0.68,0.004850639,0.0005,304215
24,16200,0.6,0.58,0.00044785254,0.0005,306261
24,16300,0.7,0.69,-0.010326566,0.0005,308367
23,16400,0.6,0.61,0.026142301,0.0005,310364
23,16500,0.7,0.67,-0.0395329,0.0005,312445
22,16600,0.7,0.66,-0.06467886,0.0005,314534
22,16700,0.7,0.69,0.026781496,0.0005,316603
21,16800,0.7,0.66,0.0374942,0.0005,318705
21,16900,0.6,0.6,0.049626898,0.0005,320807
20,17000,0.6,0.63,0.047410622,0.0005,322829
20,17100,0.7,0.68,-0.02706892,0.0005,324917
19,17200,0.7,0.7,0.0154160075,0.0005,327023
19,17300,0.7,0.65,-0.018179173,0.0005,329118
18,17400,0.6,0.58,-0.009492401,0.0005,331169
18,17500,0.7,0.71,-0.0020983815,0.0005,333308
17,17600,0.7,0.7,0.012527717,0.0005,335414
17,17700,0.7,0.68,-0.003839814,0.0005,337505
16,17800,0.5,0.52,0.0035315799,0.0005,339614
16,17900,0.7,0.72,-0.0047309734,0.0005,341779
15,18000,0.6,0.61,0.067044295,0.0005,343886
15,18100,0.7,0.72,0.049815472,0.0005,346011
14,18200,0.8,0.76,0.03061635,0.0005,348137
14,18300,0.7,0.68,-0.02193371,0.0005,350259
