#{"t_start": 1597220878.5214093, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
-30000.0,0.0,150,0.0,149,16.934454
-30000.0,0.0,150,0.0,299,25.943497
-30000.0,0.0,150,0.0,449,36.476802
-30000.0,0.0,150,0.0,599,46.519586
-30000.0,0.0,150,0.0,749,56.267712
-29603.054008,0.0,150,0.0,899,67.598129
-30000.0,0.0,150,0.0,1049,76.772781
-30000.0,0.0,150,0.0,1199,85.46839
-30000.0,0.0,150,0.0,1349,96.022386
-29902.500369,0.0,150,0.0,1499,104.954874
-30000.0,0.0,150,0.0,1649,115.610294
-29899.550917,0.0,150,0.0,1799,123.726245
-30000.0,0.0,150,0.0,1949,134.101762
7497.747843,0.07142857142857142,14,0.0,1963,135.005461
-30000.0,0.06666666666666667,150,0.0,2113,142.7369
-30000.0,0.0625,150,0.0,2263,152.570608
-30000.0,0.058823529411764705,150,0.0,2413,164.334841
-29620.455881,0.05555555555555555,150,0.0,2563,173.44817
-30000.0,0.05263157894736842,150,0.0,2713,182.494377
-29700.624895,0.05,150,0.0,2863,190.686192
-29800.361261,0.047619047619047616,150,0.0,3013,199.194965
-30000.0,0.045454545454545456,150,0.0,3163,207.470857
9398.279136,0.08695652173913043,5,0.0,3168,208.029272
-30000.0,0.08333333333333333,150,0.0,3318,218.091197
-30000.0,0.08,150,0.0,3468,225.825992
-29801.809561,0.07692307692307693,150,0.0,3618,233.941362
2703.622534,0.1111111111111111,41,0.0,3659,237.117503
-30000.0,0.10714285714285714,150,0.0,3809,245.64631
-30000.0,0.10344827586206896,150,0.0,3959,255.991374
7499.218743,0.13333333333333333,17,0.0,3976,257.369933
-30000.0,0.12903225806451613,150,0.0,4126,266.554341
6699.112685,0.15625,20,0.0,4146,267.928138
-30000.0,0.15151515151515152,150,0.0,4296,276.593717
-30000.0,0.14705882352941177,150,0.0,4446,286.643181
94.731098,0.17142857142857143,52,0.0,4498,289.807009
9299.521684,0.19444444444444445,5,0.0,4503,290.288858
10000.0,0.21621621621621623,1,0.0,4504,290.434218
-30000.0,0.21052631578947367,150,0.0,4654,299.601656
-30000.0,0.20512820512820512,150,0.0,4804,307.909472
-29899.155883,0.2,150,0.0,4954,317.127782
-29807.76442,0.1951219512195122,150,0.0,5104,327.119255
-17304.923052,0.21428571428571427,140,0.0,5244,336.751016
4498.653045,0.23255813953488372,30,0.0,5274,338.468468
-29792.490959,0.22727272727272727,150,0.0,5424,348.61639
-30000.0,0.2222222222222222,150,0.0,5574,361.739108
-30000.0,0.21739130434782608,150,0.0,5724,369.938047
-28722.668513,0.2127659574468085,150,0.0,5874,378.326213
-30000.0,0.20833333333333334,150,0.0,6024,386.799405
-28689.724788,0.20408163265306123,150,0.0,6174,396.573934
-3699.207162,0.22,75,0.0,6249,401.208345
-30000.0,0.21568627450980393,150,0.0,6399,408.816658
-30000.0,0.21153846153846154,150,0.0,6549,417.067845
-30000.0,0.20754716981132076,150,0.0,6699,425.078509
-30000.0,0.2037037037037037,150,0.0,6849,433.124875
-30000.0,0.2,150,0.0,6999,442.079177
-30000.0,0.19642857142857142,150,0.0,7149,452.840831
-30000.0,0.19298245614035087,150,0.0,7299,462.147017
-30000.0,0.1896551724137931,150,0.0,7449,471.240354
-30000.0,0.1864406779661017,150,0.0,7599,480.02684
-30000.0,0.18333333333333332,150,0.0,7749,488.552496
-30000.0,0.18032786885245902,150,0.0,7899,498.527164
-29506.560285,0.1774193548387097,150,0.0,8049,506.839272
-30000.0,0.1746031746031746,150,0.0,8199,515.215687
-30000.0,0.171875,150,0.0,8349,523.401878
-30000.0,0.16923076923076924,150,0.0,8499,532.415106
-30000.0,0.16666666666666666,150,0.0,8649,540.975317
-30000.0,0.16417910447761194,150,0.0,8799,551.666997
-30000.0,0.16176470588235295,150,0.0,8949,560.438482
-30000.0,0.15942028985507245,150,0.0,9099,568.572037
-30000.0,0.15714285714285714,150,0.0,9249,576.666794
-30000.0,0.15492957746478872,150,0.0,9399,584.542032
-29903.201147,0.1527777777777778,150,0.0,9549,592.398067
-30000.0,0.1506849315068493,150,0.0,9699,601.533507
-29700.64956,0.14864864864864866,150,0.0,9849,609.813397
-30000.0,0.14666666666666667,150,0.0,9999,618.531468
-30000.0,0.14473684210526316,150,0.0,10149,627.255751
-30000.0,0.14285714285714285,150,0.0,10299,636.948529
-30000.0,0.14102564102564102,150,0.0,10449,646.076831
-30000.0,0.13924050632911392,150,0.0,10599,654.328429
-30000.0,0.1375,150,0.0,10749,663.211038
-30000.0,0.13580246913580246,150,0.0,10899,672.317275
-30000.0,0.13414634146341464,150,0.0,11049,680.990048
-29706.383194,0.13253012048192772,150,0.0,11199,689.843328
-30000.0,0.13095238095238096,150,0.0,11349,698.692776
-30000.0,0.12941176470588237,150,0.0,11499,707.420756
-30000.0,0.12790697674418605,150,0.0,11649,717.802173
-30000.0,0.12643678160919541,150,0.0,11799,725.890926
-30000.0,0.125,150,0.0,11949,734.603332
-30000.0,0.12359550561797752,150,0.0,12099,743.979747
-30000.0,0.12222222222222222,150,0.0,12249,752.200498
-30000.0,0.12087912087912088,150,0.0,12399,760.946869
-29899.632614,0.11956521739130435,150,0.0,12549,769.936359
-30000.0,0.11827956989247312,150,0.0,12699,778.314833
-30000.0,0.11702127659574468,150,0.0,12849,787.739826
-30000.0,0.11578947368421053,150,0.0,12999,796.657784
-29901.871816,0.11458333333333333,150,0.0,13149,806.04207
-30000.0,0.1134020618556701,150,0.0,13299,814.793584
-30000.0,0.11224489795918367,150,0.0,13449,823.594522
-29898.739392,0.1111111111111111,150,0.0,13599,832.45156
-30000.0,0.11,150,0.0,13749,844.254748
-30000.0,0.10891089108910891,150,0.0,13899,853.855264
-29898.478546,0.10784313725490197,150,0.0,14049,862.730001
-30000.0,0.10679611650485436,150,0.0,14199,871.482297
-30000.0,0.10576923076923077,150,0.0,14349,880.912035
-30000.0,0.10476190476190476,150,0.0,14499,889.580607
-30000.0,0.10377358490566038,150,0.0,14649,897.825728
-30000.0,0.102803738317757,150,0.0,14799,906.18115
-29900.341859,0.10185185185185185,150,0.0,14949,917.22596
-30000.0,0.10091743119266056,150,0.0,15099,925.885612
-30000.0,0.1,150,0.0,15249,934.879348
-30000.0,0.0990990990990991,150,0.0,15399,943.549565
-30000.0,0.09821428571428571,150,0.0,15549,952.445148
-30000.0,0.09734513274336283,150,0.0,15699,961.796221
-30000.0,0.09649122807017543,150,0.0,15849,970.621081
-30000.0,0.09565217391304348,150,0.0,15999,979.296277
-30000.0,0.09482758620689655,150,0.0,16149,988.798604
-30000.0,0.09401709401709402,150,0.0,16299,997.345454
-30000.0,0.09322033898305085,150,0.0,16449,1006.388099
-30000.0,0.09243697478991597,150,0.0,16599,1015.439951
-29899.93899,0.09166666666666666,150,0.0,16749,1024.512061
-30000.0,0.09090909090909091,150,0.0,16899,1033.60789
-30000.0,0.09016393442622951,150,0.0,17049,1042.292737
-30000.0,0.08943089430894309,150,0.0,17199,1051.127363
-30000.0,0.08870967741935484,150,0.0,17349,1060.289469
-30000.0,0.088,150,0.0,17499,1068.72526
-30000.0,0.0873015873015873,150,0.0,17649,1078.050271
-30000.0,0.08661417322834646,150,0.0,17799,1086.649736
-30000.0,0.0859375,150,0.0,17949,1095.502057
-30000.0,0.08527131782945736,150,0.0,18099,1104.394647
-30000.0,0.08461538461538462,150,0.0,18249,1112.848285
-30000.0,0.08396946564885496,150,0.0,18399,1121.837469
-30000.0,0.08333333333333333,150,0.0,18549,1131.337097
-30000.0,0.08270676691729323,150,0.0,18699,1140.622035
-30000.0,0.08208955223880597,150,0.0,18849,1149.414478
-30000.0,0.08148148148148149,150,0.0,18999,1158.321272
