total_timesteps,policy_loss,ent_coef,qf1_loss,mean_rew,qf2_loss,current_lr,success_rate,value_loss,entropy,episodes,ent_coef_loss
450,-5.265837,0.9002349,0.0012161369,-30000.0,0.001209016,0.0003,0.0,0.02456381,6.504593,4,-0.88426334
1050,-11.538468,0.75190705,0.006227353,-29943.3,0.0064171646,0.0003,0.0,0.022606751,6.472296,8,-2.4185245
1650,-17.434015,0.6280654,0.1598913,-29955.1,0.1590997,0.0003,0.0,0.019473592,6.4068418,12,-3.8887703
2114,-20.263683,0.54651254,0.007884706,-27460.5,0.008162379,0.0003,0.06666666666666667,0.020459674,6.4646606,16,-5.0547323
2714,-22.826681,0.4566164,3.469442,-27975.1,3.4731476,0.0003,0.05263157894736842,0.029865272,6.484551,20,-6.5756025
3169,-25.067545,0.39845294,0.02912313,-26592.6,0.02817245,0.0003,0.08695652173913043,0.020212324,6.3686237,24,-7.716767
3660,-26.215788,0.3440528,5.104326,-25878.8,5.1046124,0.0003,0.1111111111111111,0.3066398,6.3739085,28,-8.77418
4127,-27.576044,0.29934275,5.556007,-25201.0,5.5546403,0.0003,0.12903225806451613,0.08036795,6.343674,32,-9.899569
4499,-27.267963,0.26801932,4.8243494,-23841.0,4.8244715,0.0003,0.17142857142857143,0.040654328,6.319148,36,-10.906485
4805,-29.136784,0.24478418,0.2804923,-22439.4,0.2823143,0.0003,0.20512820512820512,0.06688304,6.2671127,40,-11.776517
5275,-28.459694,0.21309571,0.09664568,-22038.4,0.09694924,0.0003,0.23255813953488372,0.031353783,6.2752566,44,-12.549803
5875,-27.879595,0.1786619,0.5591916,-22684.4,0.5638708,0.0003,0.2127659574468085,0.03350838,6.2070627,48,-13.448444
6400,-29.384623,0.15318602,0.14663896,-22716.7,0.14850506,0.0003,0.21568627450980393,0.027875343,6.2424088,52,-14.723839
7000,-27.857563,0.1286114,0.32564497,-23246.4,0.3322475,0.0003,0.2,0.18615055,6.2607164,56,-16.293205
7600,-27.667532,0.108115,5.975074,-23704.3,5.9714494,0.0003,0.1864406779661017,0.1479285,6.133666,60,-16.381857
8200,-26.996952,0.09098758,0.11067866,-24096.2,0.111152306,0.0003,0.1746031746031746,0.03918465,6.0179253,64,-17.201204
8800,-26.499979,0.07663939,0.0577429,-24448.7,0.058019992,0.0003,0.16417910447761194,0.039501674,5.908648,68,-17.897396
9400,-25.22438,0.06448427,0.29073554,-24761.4,0.30727762,0.0003,0.15492957746478872,0.09536425,5.9871984,72,-18.964542
10000,-25.420715,0.054358296,5.2801137,-25035.5,5.3186865,0.0003,0.14666666666666667,0.021255348,5.88297,76,-19.716915
10600,-24.899479,0.045846876,0.36058995,-25286.9,0.4105575,0.0003,0.13924050632911392,0.13158426,5.781273,80,-19.980972
11200,-21.994633,0.038636312,0.7416811,-25510.5,0.77801,0.0003,0.13253012048192772,0.07878635,5.7566385,84,-20.124966
11800,-21.330742,0.03244026,0.5283334,-25716.9,0.6160935,0.0003,0.12643678160919541,0.13467923,5.769495,88,-21.121012
12400,-22.101025,0.027223496,0.39317587,-25905.2,0.23595467,0.0003,0.12087912087912088,0.003182386,5.785958,92,-22.584087
13000,-20.404278,0.022871891,0.040708803,-26076.5,0.04210274,0.0003,0.11578947368421053,0.0024314285,5.7469234,96,-22.595066
13600,-18.960835,0.019140158,0.10231103,-26233.0,0.10468486,0.0003,0.1111111111111111,0.023214033,5.6929145,100,-23.87011
