#{"t_start": 1628511158.2394655, "env_id": "gripper-env-v0"}
r,l,t
-40000.0,200,12.753221
-40000.0,200,24.605703
-39894.083206,200,34.160801
-40000.0,200,43.944282
7391.936789,18,45.230539
-40000.0,200,55.471898
-40000.0,200,65.874793
-40000.0,200,75.734338
-21498.663862,160,84.425949
-39898.482508,200,94.492273
-40000.0,200,106.197357
-39501.387827,200,116.546449
-40000.0,200,127.691266
-39516.305808,200,139.364507
-39801.691926,200,150.580299
-40000.0,200,165.435054
-39498.369601,200,177.214571
-39494.718028,200,187.025787
-40000.0,200,197.013093
-39230.570901,200,213.362782
-39006.912628,200,227.169469
-7220.555308,91,232.222271
-39800.343503,200,242.705724
-39500.046666,200,254.580236
-40000.0,200,264.833383
-40000.0,200,274.247423
-40000.0,200,284.498418
-40000.0,200,293.720091
-38366.855938,200,305.667587
-40000.0,200,315.35453
-40000.0,200,327.263052
-40000.0,200,340.637537
-40000.0,200,351.370734
-39097.855935,200,362.074002
-39900.310151,200,372.694852
-40000.0,200,382.163143
-39800.000588,200,391.9003
8910.127974,9,393.226782
-40000.0,200,404.338518
-39313.269346,200,415.044779
-38888.794888,200,427.660389
-1311.036711,65,432.431432
-39901.03978,200,442.527169
-40000.0,200,453.38503
-39905.188701,200,463.096446
-40000.0,200,472.748189
-39896.341094,200,482.52981
-40000.0,200,492.645649
-40000.0,200,502.940675
-40000.0,200,516.433649
-40000.0,200,526.351039
-39900.56651,200,537.484094
-40000.0,200,548.191789
-37700.643216,200,563.460713
-39591.34702,200,573.641581
-40000.0,200,583.275603
-40000.0,200,595.999066
-40000.0,200,607.515475
-40000.0,200,617.529499
-40000.0,200,628.212647
-39601.77124,200,638.972613
-40000.0,200,649.520506
-35503.640163,200,686.983367
-35602.834573,200,697.497573
-34490.882859,200,708.178192
-40000.0,200,719.47943
-40000.0,200,731.621729
-40000.0,200,741.515163
-39399.997484,200,752.516034
-39099.737903,200,762.854201
-40000.0,200,773.928491
-40000.0,200,784.484444
-38699.999961,200,794.139797
-39699.998205,200,804.985951
-39900.000203,200,815.471002
-38840.951023,200,830.777473
-36193.224679,200,846.091723
