#{"t_start": 1606315077.983036, "env_id": "gripper-env-v0"}
r,l,t
8299.172044,10,6.24048
-9101.413324,97,10.253407
9212.41663,6,10.616151
8500.000004,9,11.188478
9213.501198,6,11.649791
9497.605555,4,11.942058
9098.290851,6,12.357922
10000.0,1,12.487705
8898.253247,7,12.907058
-12101.847137,112,19.182305
4498.12615,29,20.889261
10000.0,1,21.008739
9097.698457,6,21.404548
9211.717104,6,21.7622
9297.360959,5,22.075241
9297.508765,5,22.428606
9014.521776,7,22.884058
8898.982148,7,23.288994
9300.000376,5,23.666155
9298.323603,5,23.998322
-2795.160578,66,27.315687
9298.335678,5,27.651889
9297.742534,5,27.999073
9297.478568,5,28.329594
9297.98571,5,28.716474
9100.000036,6,29.099818
9297.072398,5,29.438909
9298.063032,5,29.730355
9498.094601,4,29.992569
9291.272845,5,30.442345
-40000.0,200,41.850718
9900.035655,2,42.031304
7494.790407,14,42.779672
-40000.0,200,53.457257
7099.122247,16,54.311952
9300.000349,5,54.629582
8814.873749,8,55.099571
9699.00787,3,55.307745
9297.887497,5,55.659731
9211.662735,6,56.03811
9298.039648,5,56.381215
9014.894492,7,56.828105
5695.776843,24,58.273664
8893.745491,7,58.712687
9097.948747,6,59.097579
9495.545645,4,59.371624
-40000.0,200,69.969228
9098.244249,6,70.377458
-40000.0,200,85.290736
7688.541842,16,86.284437
9697.934159,3,86.507299
-40000.0,200,96.922467
9099.089423,6,97.287516
10000.0,1,97.412461
9297.784666,5,97.700548
9298.633089,5,98.04692
-40000.0,200,108.07191
5998.477276,22,109.364316
9092.984952,6,109.758386
-39097.769281,200,120.090554
8698.318926,8,120.581303
9298.805505,5,120.93312
9298.101118,5,121.259898
7901.230581,12,121.968883
-4901.649653,76,126.195702
7396.144085,15,127.069306
10000.0,1,127.18067
9297.821013,5,127.49369
8900.553056,7,127.940799
-40000.0,200,141.949107
9900.00108,2,142.119902
-39898.899725,200,152.34827
8699.991304,8,152.983228
7698.155617,13,153.728637
9698.180193,3,153.938699
9297.313955,5,154.234041
5697.631664,23,155.404488
9101.649321,6,155.796154
8997.860839,7,156.231348
9297.358022,5,156.549448
9205.761698,6,156.928968
7511.269713,15,157.799941
8897.363645,7,158.245981
9300.439565,5,158.554042
9308.892488,6,158.920447
7899.695383,12,159.668168
9100.000715,6,160.069021
8405.910022,11,160.75928
8300.278442,10,161.34967
9499.539918,4,161.632214
9212.794861,6,162.060106
8898.394889,7,162.538919
9298.205574,5,162.936322
9498.49306,4,163.172943
9698.751383,3,163.377126
8497.578863,9,163.897904
9497.754239,4,164.154527
10000.0,1,164.290338
9698.523484,3,164.51013
8697.530489,8,164.98871
8297.555147,10,165.531336
9294.648458,5,165.875617
9297.450156,5,166.182906
9412.75448,5,166.530344
4896.88704,27,168.017113
8897.93017,7,168.446365
5003.32943,27,169.92524
-1772.714587,62,173.049867
98.40313,51,175.705186
9099.468238,6,176.112706
8612.569406,9,176.689233
6298.115874,20,177.796538
9296.851085,5,178.148869
9297.919991,5,178.478972
8898.706089,7,178.925592
4803.995867,28,180.617956
-1099.99986,57,183.310749
8707.887915,9,183.85597
9297.970277,5,184.172795
9212.935509,6,184.533922
-40000.0,200,195.363852
9100.226175,6,195.747095
9298.047781,5,196.09097
8299.384306,10,196.756616
9297.955475,5,197.110183
9298.288373,5,197.427079
10000.0,1,197.527387
9498.109162,4,197.900236
-1301.878343,58,201.023766
9698.445014,3,201.25518
9292.976817,5,201.62594
8697.944385,8,202.126587
9099.092282,6,202.559371
-40000.0,200,212.113662
9298.034754,5,212.450221
-40000.0,200,223.019645
9097.324166,6,223.427471
7898.178032,12,224.104885
8300.000464,10,224.77186
9100.648369,6,225.17251
9298.212741,5,225.555999
9299.214307,5,225.856091
8298.251959,10,226.467418
-40000.0,200,237.706397
9297.161529,5,238.056983
9701.782447,3,238.304879
9295.440104,5,238.619173
9298.063913,5,238.921577
9299.791317,5,239.212546
9298.378571,5,239.54554
2293.059997,40,241.778316
9212.758545,6,242.164628
8297.902271,10,242.732371
8100.439736,11,243.406066
-40000.0,200,253.141522
9012.10759,7,253.541272
9294.914946,5,253.897357
-30806.980006,200,265.179314
-20280.668814,156,273.903402
8498.107421,9,274.389463
8600.000319,9,274.909581
9407.044977,5,275.245343
9610.002515,4,275.548624
6200.565545,22,276.75914
9498.252656,4,277.047809
8905.196063,8,277.535944
9098.403008,6,277.945303
8826.272527,9,278.512561
9614.765281,4,278.814526
8097.97332,11,279.458004
10000.0,1,279.580113
9206.07079,6,279.961891
7305.96114,16,280.852377
9297.89619,5,281.190151
8709.60713,9,281.751694
-40000.0,200,291.70334
8609.588888,9,292.243018
-5291.08538,79,297.117065
9297.776065,5,297.442549
9299.491159,5,297.889145
-40000.0,200,308.717193
5889.365846,23,310.077657
9212.656391,6,310.47276
9297.422549,5,310.777568
8502.895432,10,311.401515
9597.864984,4,311.697887
8498.954002,9,312.258749
4792.726192,28,314.016925
8697.544022,8,314.515205
9299.300234,5,314.872128
9097.889028,6,315.335022
8812.810824,8,315.861938
8301.077201,11,316.53484
9003.82487,7,316.954827
8900.465216,7,317.440224
8317.1438,12,318.151227
7300.018094,15,319.025814
9099.704143,6,319.403667
9498.056889,4,319.663093
8813.733096,8,320.137688
686.544468,49,322.582183
8905.095624,9,323.149292
8496.110758,9,323.691609
9297.98087,5,324.008333
9099.999557,6,324.380246
9499.477193,4,324.644557
-39487.196581,200,334.810696
8214.710519,11,335.466155
5500.000005,24,336.693907
10000.0,1,336.80194
5599.999952,24,337.976355
8405.401131,11,338.633344
8899.999479,7,339.241789
8700.000904,8,339.744646
10000.0,1,339.859722
9298.311749,5,340.18787
-40000.0,200,355.273814
9012.385212,7,355.670266
9298.3434,5,356.086364
9297.57728,5,356.422242
9599.816784,4,356.806587
9298.987387,5,357.13342
9497.952957,4,357.371733
9610.841716,4,357.621938
-38701.551346,200,368.426964
9196.939825,6,368.83704
8897.904055,7,369.311138
9298.307741,5,369.606931
9611.496711,4,369.878063
9212.93006,6,370.267538
1713.875681,44,372.590417
9303.232911,5,372.908825
8700.00004,8,373.372096
8124.818011,13,374.125147
9097.763309,6,374.591408
8596.45571,9,375.203921
9293.349238,5,375.50689
9497.618552,4,375.786318
9298.936404,5,376.104992
7398.181196,15,376.960958
9099.334133,6,377.347935
8098.606846,11,377.99117
10000.0,1,378.099515
8613.410484,9,378.612176
9700.101438,3,378.822889
9209.056704,6,379.188928
9299.909754,5,379.502951
9298.026702,5,379.827147
-36696.146911,200,389.641773
2611.498047,39,391.676523
8898.406237,7,392.133871
8898.269833,7,392.569531
8714.123603,10,393.204501
7109.741732,17,394.098512
9598.146474,4,394.41292
9698.41012,3,394.634532
6898.418856,17,395.591746
9497.652306,4,395.865018
9298.075726,5,396.238416
9700.131698,3,396.485215
9297.973813,5,396.797735
8897.54099,7,397.209453
9297.915602,5,397.564853
4392.207035,30,400.50818
9698.199393,3,400.71673
8500.153002,9,401.275723
9498.357232,4,401.617249
-36993.584119,200,412.875198
9301.526994,5,413.323457
9294.075526,5,413.648796
10000.0,1,413.754403
8497.080088,9,414.373302
8796.927031,8,414.940264
9298.304314,5,415.338046
8297.089059,10,416.108283
-35797.192828,200,427.583909
9296.590668,5,428.003511
7497.873818,14,428.767707
9110.337206,7,429.27974
8699.094391,8,429.74803
-40000.0,200,440.868308
9298.615303,5,441.264457
8394.25209,10,441.899544
9500.293768,4,442.192844
-40000.0,200,458.413764
9298.251416,5,458.783603
8300.958756,10,459.391584
9497.592471,4,459.687271
-6386.181496,90,467.503242
9298.654774,5,467.855897
9298.386788,5,468.215575
6898.807906,17,469.288172
9497.864475,4,469.563644
-15603.583488,154,477.723145
-204.86217,70,481.636631
9010.145133,7,482.050327
-40000.0,200,492.044251
8897.250032,7,492.481885
6898.308857,17,493.351023
9101.977026,6,493.713404
10000.0,1,493.818449
9098.277732,6,494.159925
9298.010749,5,494.482383
9297.940108,5,494.812603
8901.004122,7,495.211277
6099.552961,21,496.46423
9497.989132,4,496.727389
5095.880177,26,498.408503
9212.83107,6,498.783253
10000.0,1,498.905237
9698.357641,3,499.12445
-40000.0,200,508.759002
7498.266655,14,509.557387
8297.135097,10,510.155127
9209.275235,6,510.551745
8697.876152,8,511.037811
7200.357987,16,512.049787
9496.642453,4,512.315161
8894.955381,7,512.783394
9298.123342,5,513.125883
9002.926317,7,513.579286
7695.840117,13,514.293031
8699.385816,8,514.775635
8898.096806,7,515.204416
9297.961991,5,515.53977
8697.904894,8,516.038366
7895.397945,13,516.828728
7097.706077,16,517.974449
10000.0,1,518.092152
-40000.0,200,529.902472
-7598.008448,92,535.641428
9299.887321,5,536.022504
-15601.400885,171,550.285087
4900.70433,27,551.933038
8298.383456,10,552.567349
8900.055267,7,553.069468
7700.00016,13,553.876495
7699.235855,13,554.680915
9100.096632,6,555.082372
8711.988782,9,555.735097
8299.898957,10,556.909118
7095.974686,16,557.893982
-40000.0,200,570.720274
8898.338634,7,571.158404
9196.390539,6,571.551634
9100.000473,6,571.947467
9298.376534,5,572.235656
9098.067372,6,572.626934
9298.752174,5,572.96733
-40000.0,200,583.269612
8897.591038,7,583.726328
9298.320443,5,584.048612
8196.521486,11,584.76623
-32604.241422,200,594.924686
8392.639936,10,595.532705
-25301.548166,178,604.350703
9607.284265,4,604.603433
9197.961525,6,604.984329
6096.619779,21,606.055568
9498.755157,4,606.314926
8798.919818,8,606.762728
10000.0,1,606.904309
9298.350703,5,607.223894
9699.824702,3,607.435894
7498.289246,14,608.15519
5500.000869,24,609.474834
9298.070491,5,609.78173
10000.0,1,609.89719
6298.457814,20,610.874221
-33302.309183,200,621.256607
9301.753809,5,621.572854
8598.617081,9,622.074252
10000.0,1,622.183751
9298.832681,5,622.522735
8610.417777,9,623.065339
8615.136952,9,623.577444
-40000.0,200,633.26909
8898.399644,7,633.743422
7100.24632,16,634.603757
-40000.0,200,644.172651
7699.165723,13,645.058971
9297.94013,5,645.356408
9698.206793,3,645.576191
8697.904309,8,646.015613
-38560.614064,200,657.219385
9500.393617,4,657.509433
9006.024749,7,657.978427
7996.002976,12,658.644318
9298.014572,5,659.18148
6596.073214,19,660.257052
9299.897237,5,660.614474
9297.919028,5,660.94478
9101.495929,6,661.342704
9298.238064,5,661.681345
9296.317705,5,662.057588
