#{"t_start": 1607074036.1581895, "env_id": "gripper-env-v0"}
r,l,t
-40000.0,200,12.608145
-40000.0,200,23.65116
-40000.0,200,34.02683
-39191.959706,200,44.391777
-40000.0,200,55.33615
-40000.0,200,65.632776
-39899.999992,200,76.425487
-40000.0,200,87.087106
-40000.0,200,97.116352
-40000.0,200,107.278194
-39298.130763,200,117.252223
-40000.0,200,127.801135
-40000.0,200,137.977035
-40000.0,200,147.890711
-40000.0,200,158.273897
-40000.0,200,168.572267
-39790.304553,200,180.081636
-40000.0,200,190.478298
-40000.0,200,200.43982
-40000.0,200,210.617213
-40000.0,200,220.746531
-40000.0,200,230.828264
-38909.749763,200,241.213162
-40000.0,200,251.19984
-39603.00521,200,261.958627
-40000.0,200,273.096487
-39807.102752,200,283.282573
-40000.0,200,293.767015
-39313.344395,200,304.407719
-40000.0,200,315.891333
-8511.41698,99,321.14423
-40000.0,200,331.117146
-40000.0,200,341.37771
-40000.0,200,353.772194
2502.514942,46,356.557839
-39002.829745,200,367.04634
-40000.0,200,377.665999
6500.768912,24,379.09045
-39900.970839,200,389.850862
-39817.694982,200,400.261145
-40000.0,200,410.175766
-4075.671591,90,415.151398
-40000.0,200,425.284905
-40000.0,200,435.95754
-40000.0,200,449.631118
-39900.0,200,460.168609
-38799.659374,200,471.10307
-40000.0,200,481.535297
-39799.999828,200,491.772966
-39900.55157,200,502.325334
-40000.0,200,512.869298
-40000.0,200,523.254834
-37620.84309,200,534.276631
-40000.0,200,544.885215
-39598.329034,200,555.486361
-38620.637696,200,566.209239
-39397.327096,200,576.622175
-39805.845261,200,587.062644
-39207.366441,200,597.520689
-40000.0,200,608.315159
-37218.539166,200,618.907265
-39700.459053,200,629.052008
-40000.0,200,639.204617
-40000.0,200,649.711869
-40000.0,200,660.028001
-39900.044754,200,671.052375
-40000.0,200,681.47283
-40000.0,200,693.306108
-40000.0,200,705.097667
-39711.1595,200,715.268249
-40000.0,200,725.483324
-39501.019837,200,737.056982
-39899.999387,200,746.848764
-39900.000019,200,757.137495
-39702.064416,200,767.859405
-40000.0,200,781.221197
-40000.0,200,791.543825
-40000.0,200,802.133178
-40000.0,200,812.95833
-39899.99986,200,822.988096
-39899.997898,200,832.984323
-39901.985773,200,843.396988
-40000.0,200,853.969262
-39799.992799,200,864.598085
-40000.0,200,874.927429
-40000.0,200,885.622873
-40000.0,200,896.13747
-40000.0,200,907.393344
-40000.0,200,918.713657
-39899.976024,200,932.530229
-39901.7745,200,942.985374
-39900.000947,200,954.025934
-40000.0,200,964.932515
-39502.301585,200,976.118808
-39399.971093,200,987.900474
-40000.0,200,1003.860162
-39799.941972,200,1015.430306
-39900.000112,200,1026.574163
-40000.0,200,1037.131891
-39899.999984,200,1047.713498
-39399.983191,200,1058.712706
-40000.0,200,1069.845814
-40000.0,200,1081.055448
-39800.001289,200,1092.48091
-39700.00096,200,1104.307513
-40000.0,200,1114.963507
-39500.002425,200,1125.915345
-40000.0,200,1140.776064
-40000.0,200,1152.27801
-40000.0,200,1163.762336
-40000.0,200,1174.386175
-38299.999419,200,1186.03991
-39702.694393,200,1197.506259
-40000.0,200,1210.026113
-39901.805644,200,1222.84522
-40000.0,200,1234.73297
-40000.0,200,1246.391638
-39302.779316,200,1259.092587
-40000.0,200,1271.664251
-40000.0,200,1283.242904
-40000.0,200,1295.341707
-40000.0,200,1306.446594
-40000.0,200,1317.709943
-40000.0,200,1329.506224
-40000.0,200,1341.522487
-39102.163994,200,1353.069264
-40000.0,200,1364.947493
-40000.0,200,1378.520177
-40000.0,200,1390.589378
-38099.984196,200,1403.09705
-40000.0,200,1416.047267
-40000.0,200,1427.738943
-40000.0,200,1439.701674
-40000.0,200,1451.138661
-40000.0,200,1462.834926
-39899.998543,200,1474.743309
-40000.0,200,1485.956011
-39899.999994,200,1498.005615
-39199.88508,200,1510.191161
-40000.0,200,1522.972095
-38433.865601,200,1534.504008
-40000.0,200,1546.774778
-40000.0,200,1558.333489
-40000.0,200,1570.083577
-39499.929909,200,1583.708099
-39901.026294,200,1596.599624
-40000.0,200,1609.384903
-40000.0,200,1622.961309
-40000.0,200,1635.54971
-40000.0,200,1648.735914
-40000.0,200,1660.759324
-39898.211411,200,1673.169237
-40000.0,200,1684.156343
-40000.0,200,1697.624451
-40000.0,200,1708.186217
-40000.0,200,1718.514205
-40000.0,200,1728.588984
-40000.0,200,1740.425382
-40000.0,200,1750.997904
-40000.0,200,1761.438651
